date	sentiment	change
1/1/2015	2041	0.2
1/2/2015	2577	0.2
1/3/2015	1563	0.2
1/4/2015	1578	0.2
1/5/2015	1196	0.2
1/6/2015	1524	0.2
1/7/2015	1799	0.2
1/8/2015	1719	0.2
1/9/2015	1790	0.2
1/10/2015	2993	0.2
1/11/2015	2121	0.708653525
1/12/2015	2176	1.025931165
1/13/2015	1305	0.599724265
1/14/2015	1263	0.967816092
1/15/2015	1640	1.298495645
1/16/2015	1830	1.115853659
1/17/2015	2205	1.204918033
1/18/2015	2368	1.073922902
1/19/2015	1471	0.621199324
1/20/2015	1661	1.129163834
1/21/2015	2748	1.654425045
1/22/2015	1796	0.65356623
1/23/2015	2851	1.587416481
1/24/2015	1497	0.52507892
1/25/2015	1829	1.221776887
1/26/2015	2351	0.2
1/27/2015	1737	0.2
1/28/2015	2359	0.2
1/29/2015	1390	0.2
1/30/2015	1491	0.2
1/31/2015	1951	0.2
2/1/2015	2686	0.2
2/2/2015	2496	0.2
2/3/2015	1642	0.2
2/4/2015	1477	0.2
2/5/2015	2017	0.2
2/6/2015	2344	0.2
2/7/2015	2188	0.2
2/8/2015	1536	0.2
2/9/2015	2112	0.2
2/10/2015	1668	0.2
2/11/2015	2574	0.2
2/12/2015	2917	0.2
2/13/2015	1974	0.2
2/14/2015	2001	0.2
2/15/2015	1020	0.2
2/16/2015	2175	0.2
2/17/2015	1804	0.2
2/18/2015	2896	0.2
2/19/2015	2205	0.2
2/20/2015	2771	0.2
2/21/2015	1463	0.2
2/22/2015	1254	0.2
2/23/2015	2343	0.2
2/24/2015	1519	0.2
2/25/2015	2701	0.2
2/26/2015	1584	0.2
2/27/2015	1780	0.2
2/28/2015	2198	0.2
3/1/2015	2519	0.2
3/2/2015	1224	1.025984912
3/3/2015	1194	0.975490196
3/4/2015	588	    0.492462312
3/5/2015	1396	2.37414966
3/6/2015	3141	2.25
3/7/2015	2228	0.2
3/8/2015	2140	0.2
3/9/2015	2029	0.948130841
3/10/2015	2819	1.389354362
3/11/2015	1201	0.426037602
3/12/2015	1451	1.208159867
3/13/2015	1846	0.2
3/14/2015	1162	0.2
3/15/2015	1846	0.2
3/16/2015	1162	0.2
