date	sentiment	change
1/1/2015	665	
1/2/2015	690	0.1
1/3/2015	338	0.1
1/4/2015	907	0.1
1/5/2015	646	0.1
1/6/2015	958	0.1
1/7/2015	571	0.1
1/8/2015	465	0.1
1/9/2015	698	0.1
1/10/2015	999	0.1
1/11/2015	204	0.1
1/11/2015	204	0.1
1/12/2015	161	0.789215686
1/13/2015	876	5.440993789
1/14/2015	113	0.128995434
1/15/2015	187	1.654867257
1/16/2015	619	3.310160428
1/17/2015	543	0.877221325
1/18/2015	600	1.104972376
1/19/2015	548	0.913333333
1/20/2015	864	1.576642336
1/21/2015	231	0.267361111
1/22/2015	595	2.575757576
1/23/2015	640	1.075630252
1/24/2015	530	0.828125
1/25/2015	394	0.743396226
1/26/2015	567	0.1
1/27/2015	423	0.1
1/28/2015	900	0.1
1/29/2015	176	0.1
1/30/2015	222	0.1
1/31/2015	690	0.1
2/1/2015	366	0.1
2/2/2015	80	0.1
2/3/2015	550	0.1
2/4/2015	903	0.1
2/5/2015	829	0.1
2/6/2015	574	0.1
2/7/2015	206	0.1
2/8/2015	774	0.1
2/9/2015	387	0.1
2/10/2015	547	0.1
2/11/2015	535	0.1
2/12/2015	479	0.1
2/13/2015	396	0.1
2/14/2015	632	0.1
2/15/2015	916	0.1
2/16/2015	919	0.1
2/17/2015	607	0.1
2/18/2015	778	0.1
2/19/2015	173	0.1
2/20/2015	654	0.1
2/21/2015	878	0.1
2/22/2015	120	0.1
2/23/2015	745	0.1
2/24/2015	177	0.1
2/25/2015	266	0.1
2/26/2015	876	0.1
2/27/2015	228	0.1
2/28/2015	737	0.1
3/1/2015	404	0.1
3/2/2015	522	0.77394636
3/3/2015	845	0.617751479
3/4/2015	695	1.215827338
3/5/2015	796	0.873115578
3/6/2015	924	0.861471861
3/7/2015	105	0.1
3/8/2015	145	0.1
3/9/2015	651	0.222734255
3/10/2015	712	0.914325843
3/11/2015	979	0.727272727
3/12/2015	152	0.1
3/13/2015	110	0.1
3/14/2015	382	0.1
